iter	Passed	Remaining
0	3	3743
1	7	3596
2	10	3580
3	14	3492
4	17	3490
5	21	3592
6	25	3549
7	28	3579
8	32	3592
9	36	3578
10	40	3615
11	43	3612
12	47	3611
13	50	3588
14	54	3573
15	58	3580
16	61	3573
17	65	3560
18	68	3552
19	72	3548
20	76	3565
21	80	3563
22	83	3561
23	87	3558
24	91	3552
25	95	3568
26	98	3561
27	102	3566
28	105	3537
29	109	3527
30	112	3528
31	116	3523
32	120	3522
33	124	3527
34	128	3546
35	134	3605
36	138	3598
37	143	3639
38	147	3634
39	150	3620
40	154	3610
41	158	3604
42	161	3598
43	165	3585
44	168	3581
45	172	3580
46	176	3584
47	180	3576
48	183	3569
49	188	3575
50	191	3569
51	196	3574
52	199	3565
53	203	3558
54	207	3560
55	210	3550
56	214	3545
57	218	3541
58	220	3516
59	224	3516
60	228	3517
61	232	3517
62	236	3511
63	239	3509
64	244	3519
65	249	3525
66	253	3528
67	257	3527
68	262	3545
69	266	3544
70	270	3545
71	274	3542
72	279	3549
73	283	3546
74	287	3541
75	291	3538
76	295	3538
77	299	3544
78	303	3541
79	308	3546
80	312	3546
81	316	3548
82	320	3545
83	325	3549
84	329	3545
85	333	3549
86	338	3548
87	342	3550
88	346	3549
89	350	3544
90	355	3548
91	358	3541
92	363	3541
93	367	3541
94	372	3543
95	375	3539
96	380	3538
97	382	3521
98	386	3517
99	391	3519
100	395	3516
101	398	3506
102	402	3502
103	405	3497
104	410	3500
105	414	3499
106	419	3501
107	423	3498
108	427	3498
109	431	3494
110	436	3494
111	440	3490
112	444	3489
113	448	3487
114	452	3484
115	456	3480
116	460	3473
117	465	3477
118	468	3472
119	473	3472
120	477	3469
121	481	3468
122	486	3466
123	491	3469
124	495	3468
125	500	3468
126	504	3464
127	509	3468
128	513	3467
129	517	3465
130	522	3464
131	527	3470
132	531	3465
133	536	3466
134	540	3465
135	546	3470
136	550	3467
137	555	3469
138	559	3463
139	564	3464
140	568	3464
141	573	3464
142	577	3460
143	581	3457
144	586	3459
145	591	3458
146	596	3460
147	601	3461
148	605	3457
149	609	3453
150	613	3448
151	617	3445
152	622	3445
153	627	3444
154	631	3443
155	634	3430
156	638	3429
157	642	3425
158	647	3423
159	651	3421
160	656	3423
161	660	3419
162	666	3420
163	670	3417
164	675	3418
165	679	3414
166	683	3409
167	687	3404
168	691	3400
169	696	3402
170	701	3399
171	705	3397
172	709	3393
173	714	3390
174	718	3387
175	722	3384
176	727	3380
177	731	3379
178	736	3376
179	740	3373
180	745	3371
181	749	3367
182	753	3362
183	757	3359
184	761	3354
185	765	3350
186	771	3352
187	774	3347
188	779	3345
189	783	3340
190	788	3337
191	793	3338
192	797	3336
193	802	3332
194	806	3329
195	811	3327
196	815	3325
197	819	3320
198	823	3315
199	827	3309
200	830	3300
201	834	3298
202	838	3292
203	842	3289
204	846	3284
205	851	3281
206	855	3277
207	859	3272
208	863	3267
209	867	3264
210	871	3258
211	875	3253
212	879	3250
213	883	3245
214	887	3241
215	891	3236
216	895	3231
217	899	3226
218	903	3221
219	907	3218
220	912	3215
221	916	3210
222	920	3207
223	925	3205
224	929	3201
225	933	3198
226	937	3193
227	942	3191
228	947	3189
229	953	3192
230	959	3195
231	964	3191
232	968	3186
233	973	3187
234	978	3184
235	982	3181
236	987	3178
237	992	3176
238	997	3174
239	1001	3170
240	1005	3165
241	1009	3163
242	1014	3160
243	1019	3159
244	1023	3154
245	1028	3152
246	1033	3150
247	1037	3145
248	1041	3141
249	1045	3137
250	1049	3132
251	1054	3130
252	1058	3125
253	1063	3123
254	1067	3119
255	1071	3115
256	1077	3113
257	1081	3111
258	1085	3106
259	1089	3102
260	1096	3103
261	1100	3100
262	1105	3096
263	1109	3093
264	1113	3088
265	1117	3084
266	1121	3080
267	1125	3075
268	1129	3070
269	1133	3063
270	1136	3057
271	1140	3053
272	1144	3047
273	1147	3041
274	1151	3035
275	1154	3029
276	1158	3024
277	1162	3018
278	1165	3012
279	1169	3007
280	1174	3004
281	1177	2998
282	1181	2993
283	1186	2990
284	1190	2985
285	1193	2980
286	1197	2975
287	1201	2970
288	1205	2966
289	1209	2960
290	1212	2955
291	1217	2951
292	1220	2945
293	1224	2940
294	1228	2935
295	1231	2929
296	1235	2925
297	1239	2919
298	1243	2915
299	1246	2909
300	1251	2906
301	1254	2900
302	1258	2895
303	1262	2890
304	1266	2886
305	1270	2881
306	1274	2876
307	1278	2871
308	1282	2868
309	1286	2863
310	1290	2858
311	1294	2854
312	1298	2850
313	1302	2845
314	1306	2840
315	1309	2835
316	1314	2831
317	1317	2826
318	1321	2821
319	1326	2818
320	1329	2813
321	1334	2809
322	1337	2803
323	1341	2799
324	1345	2794
325	1349	2789
326	1354	2786
327	1361	2789
328	1365	2785
329	1369	2780
330	1374	2777
331	1377	2771
332	1381	2766
333	1385	2762
334	1389	2757
335	1392	2751
336	1397	2749
337	1400	2743
338	1404	2739
339	1408	2735
340	1413	2730
341	1417	2726
342	1421	2722
343	1425	2718
344	1430	2715
345	1435	2712
346	1439	2708
347	1442	2703
348	1446	2698
349	1450	2694
350	1454	2690
351	1458	2685
352	1463	2681
353	1467	2678
354	1472	2675
355	1476	2670
356	1480	2665
357	1484	2662
358	1488	2658
359	1493	2654
360	1497	2650
361	1501	2646
362	1505	2642
363	1510	2638
364	1514	2634
365	1519	2631
366	1523	2627
367	1527	2622
368	1531	2618
369	1534	2613
370	1538	2609
371	1542	2604
372	1546	2599
373	1550	2595
374	1554	2590
375	1558	2586
376	1561	2580
377	1565	2575
378	1568	2570
379	1572	2565
380	1576	2562
381	1580	2557
382	1584	2552
383	1587	2547
384	1592	2543
385	1595	2538
386	1599	2533
387	1603	2529
388	1607	2524
389	1610	2519
390	1614	2514
391	1617	2509
392	1621	2504
393	1625	2499
394	1629	2495
395	1632	2490
396	1636	2485
397	1640	2480
398	1642	2473
399	1645	2468
400	1649	2464
401	1653	2459
402	1656	2454
403	1660	2449
404	1663	2444
405	1667	2440
406	1671	2435
407	1674	2430
408	1678	2425
409	1682	2421
410	1686	2417
411	1690	2412
412	1694	2407
413	1697	2403
414	1701	2398
415	1705	2394
416	1709	2389
417	1713	2385
418	1716	2380
419	1720	2375
420	1724	2371
421	1728	2367
422	1732	2363
423	1736	2358
424	1740	2354
425	1743	2349
426	1747	2345
427	1752	2341
428	1755	2337
429	1759	2332
430	1763	2328
431	1767	2323
432	1771	2319
433	1774	2314
434	1778	2309
435	1781	2305
436	1787	2302
437	1791	2298
438	1794	2293
439	1798	2289
440	1802	2284
441	1806	2280
442	1810	2276
443	1814	2272
444	1818	2268
445	1823	2264
446	1827	2260
447	1831	2256
448	1835	2252
449	1839	2247
450	1842	2243
451	1845	2237
452	1849	2233
453	1854	2229
454	1857	2225
455	1861	2221
456	1865	2216
457	1869	2212
458	1873	2207
459	1876	2203
460	1880	2198
461	1885	2195
462	1889	2191
463	1893	2187
464	1897	2182
465	1901	2178
466	1904	2173
467	1908	2169
468	1912	2165
469	1916	2161
470	1920	2156
471	1923	2151
472	1928	2148
473	1931	2143
474	1935	2138
475	1938	2134
476	1942	2129
477	1946	2125
478	1950	2121
479	1954	2116
480	1957	2112
481	1961	2107
482	1965	2103
483	1968	2098
484	1972	2094
485	1976	2090
486	1980	2086
487	1984	2081
488	1988	2077
489	1992	2074
490	1996	2069
491	2000	2065
492	2003	2060
493	2007	2056
494	2011	2052
495	2015	2047
496	2019	2043
497	2023	2039
498	2026	2034
499	2030	2030
500	2033	2025
501	2038	2022
502	2041	2017
503	2045	2013
504	2049	2008
505	2053	2004
506	2056	2000
507	2060	1995
508	2064	1991
509	2068	1987
510	2072	1983
511	2076	1978
512	2079	1974
513	2084	1971
514	2088	1966
515	2091	1961
516	2095	1957
517	2098	1952
518	2102	1948
519	2106	1944
520	2110	1939
521	2114	1935
522	2118	1932
523	2122	1927
524	2126	1923
525	2130	1919
526	2134	1915
527	2139	1912
528	2145	1910
529	2149	1906
530	2152	1901
531	2156	1897
532	2160	1892
533	2163	1887
534	2167	1883
535	2170	1879
536	2175	1876
537	2179	1871
538	2183	1867
539	2187	1863
540	2191	1859
541	2195	1855
542	2198	1850
543	2203	1846
544	2206	1842
